id,c1_v1,c1_v2,c1_v3,c1_v4,c1_v5,c1_v6,c1_v7,c2_v8,c2_v9,c2_v10,c2_v11,c2_v12,c2_v13,c2_v14,c2_v15,c3_v16,c3_v17,c3_v18,c3_v19,c3_v20,c4_v21,c4_v22,c4_v23,c4_v24,c4_v25,c5_v26,c5_v27,c5_v28,c5_v29,c5_v30,c5_v31
r1,4,4,3,3,3,1,4,3,4,3,4,3,3,4,3,2,3,3,3,4,3,2,1,3,2,3,2,4,4,3,3
r2,3,3,1,1,2,1,1,4,4,4,3,4,4,4,3,3,3,3,4,4,2,3,2,4,3,2,3,4,3,3,4
r3,3,2,1,4,1,1,1,2,2,3,4,1,2,3,3,2,3,1,1,2,4,4,1,3,3,1,1,4,4,2,3
r4,3,4,3,4,1,1,3,3,4,1,3,2,2,4,2,2,4,3,3,2,2,4,1,3,1,2,2,3,3,4,2
r5,3,1,1,1,1,1,1,3,3,3,4,4,4,4,3,3,4,4,3,3,4,3,2,4,2,3,4,4,4,4,4
r6,3,2,1,1,1,1,2,4,4,3,4,4,4,4,3,2,4,3,3,3,2,2,3,3,3,2,2,3,4,4,4
r7,4,3,1,3,1,1,1,3,2,2,3,2,3,3,2,3,3,3,3,3,4,4,3,3,3,3,2,4,4,3,3
r8,4,4,3,4,4,4,4,4,3,3,4,4,4,4,3,3,4,3,3,3,4,4,1,1,1,4,4,4,4,3,3
r9,3,3,3,3,1,1,3,2,3,2,3,2,3,3,2,1,3,3,3,3,3,3,2,2,1,3,2,4,4,4,4
r10,4,4,4,4,4,2,4,3,4,1,4,3,4,4,4,2,3,3,3,3,4,3,1,3,2,3,3,3,4,4,4
r11,3,4,4,3,3,3,4,3,3,1,3,3,3,3,2,2,3,2,3,3,3,3,2,2,2,3,3,3,3,3,3
r12,2,1,1,1,1,1,1,3,4,2,3,3,3,3,2,2,3,4,3,3,4,2,1,4,2,1,1,4,4,4,4
r13,4,3,2,3,2,1,1,3,3,3,3,2,3,3,2,3,2,2,2,2,3,3,1,1,1,2,1,2,2,4,3
r14,4,4,2,4,3,3,3,3,3,4,4,3,4,4,4,3,4,4,4,4,3,2,2,3,2,3,2,4,3,2,3
r15,4,4,2,1,2,1,3,2,2,1,2,2,3,3,3,3,3,2,2,3,3,4,1,2,2,3,2,2,4,4,4
r16,4,4,2,4,1,1,2,2,3,1,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,3,3,3,4,3,3
r17,2,1,1,3,2,1,1,3,3,3,3,2,2,3,3,3,3,2,2,3,4,4,3,4,3,3,2,3,4,3,3
r18,4,4,2,3,3,1,3,4,2,3,4,4,4,4,3,3,4,3,3,4,4,3,2,3,3,3,3,4,4,2,4
r19,1,3,1,3,1,1,2,4,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2
r20,4,3,2,2,2,1,3,2,3,3,4,3,4,4,3,3,3,3,3,3,3,3,1,3,2,2,2,3,3,3,2
r21,4,4,1,4,1,1,4,3,3,2,4,4,4,4,2,2,3,2,2,2,4,4,1,1,1,3,3,2,4,1,4
